author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,Rutte over Poetin: 'Dat heeft catastrofale gevolgen!',Minister-president Mark Rutte veroordeelt de bombardementen van Rusland op Kiev.,https://www.telegraaf.nl/video/1685796730/rutte-over-poetin-dat-heeft-catastrofale-gevolgen,De Telegraaf,general,nl,nl,2022-10-11T15:50:00+00:00,"Mark Rutte blikt woensdagmiddag terug op de NAVO-top in Den Haag. Verslaggever Pim Sedee stelt vragen aan de secretaris-generaal van de NAVO.
De partners van de regeringsleiders hebben tijdens de NAVO-top niet veel te doen. Koningin Máxima neemt ze mee naar Rotterdam. Wat ze precies doen, is om veiligheidsreden niet bekendgemaakt.
De verkiezingscampagnes draaien al op volle toeren. Politici strooien met beloftes, maar in ons versnipperde politieke landschap blijft daar in de praktijk weinig van over. Opiniemaker Erik de Zwart pleit in Nieuws van de dag daarom voor een kiesdrempel van vijf procent:
In het programma De oranjezomer verteld Olcay Gulsen over een spannend avontuurtje. Daarnaast onthult Johnny de Mol wat de pornonaam van Raymond Mens zou zijn.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",Neutral
,Rutte botst met Omtzigt: 'U zakt door een ondergrens',In een debat over de begroting van Algemene Zaken komen premier Mark Rutte en Tweede Kamerlid Pieter Omtzigt met elkaar in aanvaring over het verbeteren van het archiveren en verstrekken van gegevens.,https://www.telegraaf.nl/video/1405731446/rutte-botst-met-omtzigt-u-zakt-door-een-ondergrens,De Telegraaf - Nieuws Overzicht,general,nl,nl,2022-10-12T10:44:00+00:00,"Mark Rutte blikt woensdagmiddag terug op de NAVO-top in Den Haag. Verslaggever Pim Sedee stelt vragen aan de secretaris-generaal van de NAVO.
De partners van de regeringsleiders hebben tijdens de NAVO-top niet veel te doen. Koningin Máxima neemt ze mee naar Rotterdam. Wat ze precies doen, is om veiligheidsreden niet bekendgemaakt.
De verkiezingscampagnes draaien al op volle toeren. Politici strooien met beloftes, maar in ons versnipperde politieke landschap blijft daar in de praktijk weinig van over. Opiniemaker Erik de Zwart pleit in Nieuws van de dag daarom voor een kiesdrempel van vijf procent:
In het programma De oranjezomer verteld Olcay Gulsen over een spannend avontuurtje. Daarnaast onthult Johnny de Mol wat de pornonaam van Raymond Mens zou zijn.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",Neutral
,Rutte wil instroom asielzoekers remmen: wat zijn de opties?,"Om de dwangwet er bij zijn partij doorheen te krijgen, heeft VVD-voorman Mark Rutte toegezegd wat aan de instroom van asielzoekers te doen. Wat zijn hiervoor de opties, en hoe realistisch zijn die? „Er is wel degelijk wat mogelijk, maar het blijft gemodder in de marge.”",https://www.telegraaf.nl/nieuws/255567376/rutte-wil-instroom-asielzoekers-remmen-wat-zijn-de-opties,De Telegraaf - Nieuws Binnenland,general,nl,nl,2022-11-09T12:45:00+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,Rutte noemt speculatie FVD-Kamerlid ’totaal onverantwoordelijk’,Premier Mark Rutte vindt de speculatie van FVD-Kamerlid Gideon van Meijeren over het bezetten van het parlement om zo een regering ten val te brengen „verwerpelijk en onverantwoordelijk.” Rutte noemt in zijn tweet de naam van het Kamerlid niet.,https://www.telegraaf.nl/nieuws/965721614/rutte-noemt-speculatie-fvd-kamerlid-totaal-onverantwoordelijk,De Telegraaf - Nieuws Overzicht,general,nl,nl,2022-11-13T22:05:00+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,Peiling: amper nog vertrouwen in Rutte IV,"Lange tijd uitte het ongenoegen over politiek bij kiezers zich niet in ontevredenheid over Mark Rutte (VVD). Maar daar is verandering in gekomen. De tevredenheid over de premier is lager dan ooit, evenals over zijn vierde kabinet. En, opvallend: kiezers van drie van de vier coalitiepartijen (D66, CDA en ChristenUnie) zijn in meerderheid ontevreden over Rutte IV. Alleen VVD-kiezers zijn in meerderheid tevreden.",https://www.telegraaf.nl/nieuws/1791472199/peiling-amper-nog-vertrouwen-in-rutte-iv,De Telegraaf - Nieuws Overzicht,general,nl,nl,2022-09-20T05:28:24+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,Rutte over mobilisatie Rusland: ’Poetin lijkt in paniek’,"Premier Mark Rutte is niet onder de indruk van de uitspraken van Vladimir Poetin die een gedeeltelijke mobilisatie heeft afgekondigd. Bij Poetin heerst „volgens mij paniek”, zei Rutte. „Je ziet natuurlijk dat Oekraïne tegen de Russische agressie met succes begint op te treden met Westerse steun.”",https://www.telegraaf.nl/nieuws/33296636/rutte-over-mobilisatie-rusland-poetin-lijkt-in-paniek,De Telegraaf - Nieuws Buitenland,general,nl,nl,2022-09-21T08:29:53+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,Rutte: ’Stapeling van klimaatplichten dreigt’,Er dreigt een ophoping van financiële klimaatverplichtingen te ontstaan voor westerse landen zoals Nederland. Dat constateert premier Mark Rutte bij aankomst op de klimaattop in Sharm el-Sheikh.,https://www.telegraaf.nl/nieuws/976508618/rutte-stapeling-van-klimaatplichten-dreigt,De Telegraaf - Nieuws Overzicht,general,nl,nl,2022-11-07T11:02:46+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,’Hele prestatie van Mark Rutte’,"Twaalf jaar lang premier van een land met 17 miljoen 'visionairs'. Dat is een prestatie op zich, schrijft P. v. Woerkom.",https://www.telegraaf.nl/watuzegt/151416124/hele-prestatie-van-mark-rutte,De Telegraaf - Wat U Zegt Lezersbrieven,entertainment,nl,nl,2022-08-04T05:00:00+00:00,"De kritiek die Mark Rutte over zich heen krijgt, is niet mals. En hij heeft natuurlijk ook wel opvallende fouten gemaakt, zoals ieder mens die maakt.
Vriend en vijand zijn het erover eens dat zijn werklust, verbindende toegankelijkheid en eenvoud hem dit record hebben opgeleverd. Nederland had het slechter kunnen treffen.
P. v. Woerkom, Den Haag
Dinsdag en woensdag uitgebreid het NAVO-programma gevolgd via de media. Dat geeft mij een trots gevoel Nederlander te zijn. Prima georganiseerde NAVO-top, aldus lezer Ad Out.
Wij leven in een onregeerbaar land. Politieke partijen zouden meer moeten denken aan het landsbelang, schrijft lezer Oane jansen.
De tweejaarlijkse Airshow die gehouden wordt op de kleinere luchthaven van Le Bourget bij Parijs is heel bijzonder, omdat dit het één van de weinige beurzen is waar de rij voor de wc’s voor vrouwen korter is dan voor de mannen.
In krant wordt door een briefschrijver geklaagd over het ontslagrecht (WUZ, 24/6). Werknemers zouden te veel in de watten gelegd worden ten koste van werkgevers. Onzin, schrijft lezer Anne van Dijk.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",Neutral
,Druk op Benschop vanuit premier Rutte: Schiphol-updates al in april geëist,Schipholbaas Dick Benschop moest al in het voorjaar dagelijkse updates naar het kabinet sturen vanwege nijpende situaties op Schiphol. Een dagelijkse briefing van de stand van zaken werd door minister Mark Harbers (Infrastructuur en Waterstaat) gevraagd na druk vanuit premier Mark Rutte.,https://www.telegraaf.nl/nieuws/1003993696/druk-op-benschop-vanuit-premier-rutte-schiphol-updates-al-in-april-geeist,De Telegraaf - Nieuws Overzicht,general,nl,nl,2022-08-11T10:36:48+00:00,"Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",NA
,LIVE | Rutte: kabinet had effect einde gaswinning beter moeten uitleggen,"Zijn vorige kabinet had volgens premier Mark Rutte duidelijker moeten maken wat de consequenties zouden zijn van het besluit om de gaskraan dicht te draaien. Eind maart 2018 kondigt dat kabinet onverwacht aan dat de gaswinning naar nul gaat. Maar in de brief die hierover aan de Tweede Kamer is gestuurd, staat niet expliciet vermeld dat het kabinet verwacht dat hierdoor minder huizen in het aardbevingsgebied versterkt hoeven te worden.",https://www.telegraaf.nl/nieuws/251961603/live-rutte-kabinet-had-effect-einde-gaswinning-beter-moeten-uitleggen,De Telegraaf,general,nl,nl,2022-10-13T15:14:00+00:00,"Onze verslaggever Mike Muller is live bij het verhoor aanwezig. Volg de ontwikkelingen in zijn tweets onderaan het artikel.
Achteraf denkt Rutte dat het kabinet had moeten zeggen dat „de kans groot is dat dit absoluut effect gaat hebben op die versterking.” De premier blikte terug op het moment tijdens het verhoor door de parlementaire enquêtecommissie. Toenmalig minister Eric Wiebes (Economische Zaken) pauzeerde de versterkingsoperatie na het besluit de gaskraan dicht te draaien, tot grote verontwaardiging van de regio.
De premier stelde eerdere tijdens het verhoor dat hij eraan hecht om goede relaties te onderhouden met de top van alle grote bedrijven, „omdat ze voor Nederland van essentieel belang zijn.” De contacten die hij in dat kader had met Shell-baas Ben van Beurden, heeft de premier als „zeer plezierig ervaren”, zegt hij tegen de parlementaire enquêtecommissie die onderzoek doet naar de aardgaswinning in Groningen. Een opvallend moment tijdens het verhoor was dat premier Rutte stelde dat hij een vertrouwelijke notitie van Shell-topman Ben van Beurden aan hem gericht „niet in de archieven van Algemene Zaken kon terugvinden.”
Tijdens een eerder verhoor van de enquêtecommissie zei commissaris van de Koning René Paas dat de „euforie” van het besluit te stoppen met de gaswinning ”één dag duurde.”
De commissie bevroeg al meer (oud-)politici over de rol die een kleinere (en dus minder dure) versterkingsoperatie speelde bij het besluit te stoppen met de gaswinning. Volgens Rutte was het besparen op de versterking slechts een „bijvangst” van het zogenoemde nulbesluit.
Hier staat ingevoegde content van X die cookies wil uitlezen of schrijven. U hebt hiervoor geen toestemming gegeven.
Bij een tragisch ongeval op een bouwterrein in Spijkenisse is woensdag een man om het leven gekomen. Het slachtoffer raakte bedolven onder een omgevallen muur tijdens sloopwerkzaamheden.
Een kleinzoon heeft nog weinig plezier beleefd aan de erfenis van zijn overleden grootouders. Eerst wordt hij door een ontevreden familielid voor de rechter gesleept. En daarna weigert zijn rechtsbijstandverzekeraar Klaverblad hem te helpen in die procedure. Maar hij laat het er niet bij zitten.
Interieurmerk Rivièra Maison bepaalde jarenlang met veel riet, strandgevoel en teksten als seaside, livre en bonjour de sfeer in de Nederlandse huiskamer. Het faillissement van het iconische woonmerk slaat dan ook in als een bom. „Ze zijn te lang in dat stijltje blijven hangen.”
Al een jaar werkt het bondgenootschap naar dit moment toe: de vergadering van de Noord-Atlantische Raad op het niveau van staatshoofden en regeringsleiders. Volg de laatste ontwikkelingen in ons liveblog.
Digitale krant
Self Service
Privacy
Abonneren
De Telegraaf
Copyright Mediahuis Nederland B.V. - Alle rechten voorbehouden",Neutral
